DateAndTime,Temperature,WindSpeed,WindDirection,BarometricPressure,Visibility,Clouds,Humidity
2000-01-01 00:00:00,-2.8,2,240,1022.4,97.0,10.0,82
2000-01-01 03:00:00,-2.9,2,250,1022.5,97.0,10.0,80
2000-01-01 06:00:00,-3.7,5,250,1023.4,98.0,10.0,74
2000-01-01 09:00:00,-3.0,4,250,1023.4,97.0,10.0,75
2000-01-01 12:00:00,-3.3,2,260,1023.7,98.0,10.0,77
2000-01-01 15:00:00,-4.2,2,290,1024.9,97.0,10.0,77
2000-01-01 18:00:00,-1.9,4,260,1021.9,97.0,10.0,73
2000-01-01 21:00:00,-2.6,3,240,1022.0,97.0,9.0,76
2000-01-02 00:00:00,-6.2,0,0,1028.7,97.0,10.0,86
2000-01-02 03:00:00,-6.5,0,0,1029.2,97.0,10.0,89
2000-01-02 06:00:00,-10.2,3,70,1032.4,97.0,10.0,75
2000-01-02 09:00:00,-11.6,3,150,1034.0,98.0,10.0,68
2000-01-02 12:00:00,-14.1,2,80,1035.3,98.0,10.0,67
2000-01-02 15:00:00,-16.7,2,90,1036.5,97.0,10.0,65
2000-01-02 18:00:00,-5.3,1,300,1026.2,97.0,10.0,80
2000-01-02 21:00:00,-6.2,0,0,1027.8,97.0,10.0,86
2000-01-03 00:00:00,-17.7,2,100,1034.7,97.0,10.0,75
2000-01-03 03:00:00,-17.1,2,110,1033.0,97.0,10.0,79
2000-01-03 06:00:00,-16.3,4,130,1033.2,94.0,10.0,78
2000-01-03 09:00:00,-13.6,5,110,1030.7,98.0,10.0,76
2000-01-03 12:00:00,-11.7,4,120,1030.2,98.0,10.0,75
2000-01-03 15:00:00,-11.5,6,120,1029.5,97.0,8.0,73
2000-01-03 18:00:00,-18.6,3,90,1036.0,97.0,10.0,67
2000-01-03 21:00:00,-18.5,4,110,1034.8,97.0,10.0,74
2000-01-04 00:00:00,-9.8,3,100,1026.9,97.0,10.0,75
2000-01-04 03:00:00,-9.8,3,90,1025.9,97.0,10.0,72
2000-01-04 06:00:00,-9.5,6,110,1024.1,98.0,10.0,69
2000-01-04 09:00:00,-7.3,5,110,1022.1,98.0,10.0,63
2000-01-04 12:00:00,-7.6,2,100,1020.9,98.0,8.0,70
2000-01-04 15:00:00,-10.1,2,110,1020.5,97.0,9.0,72
2000-01-04 18:00:00,-10.9,6,120,1028.8,97.0,10.0,74
2000-01-04 21:00:00,-10.3,1,120,1028.6,97.0,10.0,73
2000-01-05 00:00:00,-10.9,1,170,1018.6,97.0,10.0,83
2000-01-05 03:00:00,-12.3,0,0,1018.4,97.0,3.0,84
2000-01-05 06:00:00,-17.1,0,0,1019.6,98.0,0.0,85
2000-01-05 09:00:00,-10.8,1,30,1018.8,98.0,1.0,70
2000-01-05 12:00:00,-11.3,0,0,1019.7,98.0,0.0,66
2000-01-05 15:00:00,-20.8,0,0,1021.9,97.0,0.0,80
2000-01-05 18:00:00,-10.4,2,160,1020.1,97.0,10.0,72
2000-01-05 21:00:00,-10.7,1,170,1019.2,97.0,10.0,75
2000-01-06 00:00:00,-25.6,0,0,1024.3,97.0,2.0,82
2000-01-06 03:00:00,-25.1,0,0,1024.5,97.0,7.0,80
2000-01-06 06:00:00,-25.1,0,0,1024.7,97.0,0.0,78
2000-01-06 09:00:00,-17.1,0,0,1023.5,98.0,0.0,78
2000-01-06 12:00:00,-15.7,0,0,1023.5,98.0,0.0,69
2000-01-06 15:00:00,-22.6,0,0,1024.7,97.0,0.0,78
2000-01-06 18:00:00,-23.8,0,0,1022.4,97.0,0.0,80
2000-01-06 21:00:00,-25.0,0,0,1023.2,97.0,6.0,82
2000-01-07 00:00:00,-18.3,0,0,1023.0,97.0,10.0,82
2000-01-07 03:00:00,-15.2,0,0,1022.0,97.0,10.0,85
2000-01-07 06:00:00,-12.7,0,0,1021.5,97.0,10.0,85
2000-01-07 09:00:00,-9.1,0,0,1019.9,98.0,10.0,73
2000-01-07 12:00:00,-10.4,0,0,1019.3,97.0,10.0,84
2000-01-07 15:00:00,-9.3,2,250,1018.7,97.0,10.0,85
2000-01-07 18:00:00,-23.4,0,0,1024.3,97.0,8.0,78
2000-01-07 21:00:00,-20.8,0,0,1023.8,97.0,3.0,80
2000-01-08 00:00:00,-6.7,2,310,1019.1,97.0,10.0,80
2000-01-08 03:00:00,-7.7,2,330,1019.9,97.0,10.0,87
2000-01-08 06:00:00,-8.9,3,300,1021.9,97.0,10.0,83
2000-01-08 09:00:00,-8.0,3,270,1022.4,97.0,10.0,78
2000-01-08 12:00:00,-8.1,2,240,1023.3,97.0,10.0,84
2000-01-08 15:00:00,-7.7,4,210,1023.5,97.0,10.0,87
2000-01-08 18:00:00,-7.5,2,280,1018.0,97.0,10.0,84
2000-01-08 21:00:00,-5.7,3,310,1018.2,97.0,10.0,84
2000-01-09 00:00:00,-7.3,6,250,1023.4,97.0,10.0,85
2000-01-09 03:00:00,-9.7,6,240,1023.6,97.0,10.0,88
2000-01-09 06:00:00,-8.2,2,220,1024.8,97.0,10.0,86
2000-01-09 09:00:00,-7.5,2,220,1025.0,97.0,10.0,84
2000-01-09 12:00:00,-10.6,0,0,1026.7,98.0,4.0,85
2000-01-09 15:00:00,-17.6,0,0,1028.3,97.0,6.0,85
2000-01-09 18:00:00,-6.5,4,210,1023.5,97.0,10.0,89
2000-01-09 21:00:00,-5.3,6,240,1022.8,97.0,10.0,85
2000-01-10 00:00:00,-8.2,3,190,1027.2,97.0,10.0,92
2000-01-10 03:00:00,-8.6,4,210,1026.4,97.0,10.0,92
2000-01-10 06:00:00,-6.8,5,230,1026.2,95.0,10.0,91
2000-01-10 09:00:00,-5.3,3,230,1026.0,97.0,10.0,87
2000-01-10 12:00:00,-5.1,3,240,1026.2,97.0,10.0,88
2000-01-10 15:00:00,-5.4,2,240,1026.4,97.0,10.0,87
2000-01-10 18:00:00,-11.7,0,0,1028.0,97.0,10.0,89
2000-01-10 21:00:00,-8.5,3,240,1027.1,97.0,10.0,92
