DateAndTime,Temperature,WindSpeed,WindDirection,BarometricPressure,Visibility,Clouds,Humidity
2000-01-01 00:00:00,3.7,1,20,1022.4,50.0,10.0,82
2000-01-01 03:00:00,1.9,1,160,1026.0,97.0,10.0,89
2000-01-01 06:00:00,11.5,1,215,1022.3,98.0,10.0,46
2000-01-01 09:00:00,6.4,2,350,1022.8,97.0,10.0,65
2000-01-01 12:00:00,5.3,0,0,1022.1,97.0,10.0,75
2000-01-01 15:00:00,4.0,2,145,1021.9,74.0,10.0,78
2000-01-01 18:00:00,-0.2,1,10,1026.1,1.0,0.0,100
2000-01-01 21:00:00,0.6,1,145,1024.9,3.0,0.0,98
2000-01-02 00:00:00,4.8,1,160,1021.3,58.0,10.0,85
2000-01-02 03:00:00,5.9,1,250,1020.7,97.0,10.0,82
2000-01-02 06:00:00,3.1,1,340,1024.0,97.0,10.0,95
2000-01-02 09:00:00,3.4,1,270,1023.9,97.0,10.0,93
2000-01-02 12:00:00,2.0,1,200,1026.2,97.0,10.0,96
2000-01-02 15:00:00,0.4,0,0,1027.5,61.0,10.0,98
2000-01-02 18:00:00,3.7,1,145,1020.7,76.0,10.0,80
2000-01-02 21:00:00,5.8,1,330,1020.9,66.0,10.0,65
2000-01-03 00:00:00,-4.8,1,120,1029.1,62.0,10.0,98
2000-01-03 03:00:00,-6.0,0,0,1030.9,92.0,0.0,94
2000-01-03 06:00:00,-5.3,0,0,1030.9,92.0,0.0,95
2000-01-03 09:00:00,-5.9,1,20,1031.4,96.0,10.0,94
2000-01-03 12:00:00,-6.3,0,0,1032.2,97.0,10.0,94
2000-01-03 15:00:00,-6.7,0,0,1032.2,60.0,10.0,88
2000-01-03 18:00:00,-2.6,2,350,1028.3,65.0,10.0,97
2000-01-03 21:00:00,-3.5,1,30,1028.6,67.0,10.0,97
2000-01-04 00:00:00,-7.3,0,0,1032.9,56.0,10.0,93
2000-01-04 03:00:00,-7.6,1,355,1034.0,96.0,10.0,93
2000-01-04 06:00:00,-5.7,0,0,1033.2,97.0,4.0,87
2000-01-04 09:00:00,-4.9,1,30,1031.9,97.0,10.0,83
2000-01-04 12:00:00,-7.8,0,0,1033.0,97.0,10.0,90
