Temperature,Humidity
-6.2,63.0
8.8,88.0
-25.1,64.0
-19.1,70.0
19.8,43.0
-7.3,90.0
24.0,31.0
8.7,81.0
4.0,95.0
-1.4,90.0
11.4,94.0
-17.0,70.0
13.3,48.0
14.1,47.0
28.0,28.0
10.4,80.0
19.3,41.0
-2.2,94.0
22.4,38.0
12.4,70.0
2.5,75.0
9.6,31.0
6.8,94.0
15.7,66.0
10.0,77.0
5.6,89.0
26.4,38.0
9.8,43.0
-2.0,89.0
-4.2,96.0
21.8,56.0
10.8,94.0
-7.6,65.0
11.9,68.0
22.7,46.0
-12.6,81.0
14.1,40.0
7.8,50.0
10.7,80.0
11.7,50.0
7.4,96.0
23.6,26.0
0.1,86.0
23.5,31.0
-6.0,76.0
20.2,56.0
-1.5,74.0
21.8,51.0
21.2,27.0
-19.5,83.0
21.8,43.0
-5.5,76.0
-7.1,88.0
-12.5,78.0
-1.9,77.0
-0.5,71.0
27.2,34.0
-3.8,89.0
-6.1,91.0
21.0,50.0
21.6,40.0
11.0,47.0
8.6,76.0
0.4,59.0
-1.8,92.0
11.8,55.0
-14.2,62.0
20.2,36.0
25.0,38.0
-12.8,88.0
1.8,68.0
-0.6,93.0
-2.6,85.0
25.0,38.0
2.4,91.0
15.2,65.0
8.2,74.0
-5.7,84.0
9.6,73.0
10.4,40.0
13.4,51.0
15.3,44.0
-16.9,90.0
9.8,54.0
34.0,24.0
15.4,38.0
-8.8,86.0
23.5,48.0
23.6,45.0
-7.7,76.0
10.3,80.0
25.8,34.0
-15.7,89.0
15.1,54.0
-5.3,79.0
-2.2,70.0
0.6,83.0
3.0,72.0
1.0,96.0
7.9,44.0
-8.9,95.0
-9.2,76.0
-1.2,87.0
28.3,26.0
-3.4,92.0
25.5,43.0
-10.8,65.0
21.1,23.0
1.0,96.0
6.5,37.0
27.2,43.0
-25.3,84.0
8.8,96.0
6.0,40.0
-4.9,59.0
14.4,61.0
19.6,32.0
14.4,61.0
-0.8,93.0
16.3,52.0
13.8,89.0
-10.8,70.0
6.0,40.0
22.4,32.0
0.5,80.0
-4.5,84.0
-1.2,80.0
-3.7,83.0
3.0,72.0
34.6,24.0
-1.2,81.0
13.7,50.0
-3.4,82.0
18.4,93.0
0.8,83.0
18.8,88.0
15.2,95.0
16.1,69.0
9.4,56.0
-3.1,97.0
26.6,47.0
-3.6,85.0
19.1,31.0
-11.8,71.0
-9.1,76.0
15.7,56.0
-10.2,80.0
1.6,91.0
-0.3,68.0
-0.2,92.0
26.3,23.0
13.9,33.0
-1.4,90.0
25.0,27.0
-13.0,65.0
13.3,34.0
21.0,73.0
-11.2,71.0
-7.2,83.0
-0.8,91.0
2.9,76.0
25.3,31.0
-6.4,94.0
8.2,74.0
20.6,42.0
15.3,66.0
1.4,95.0
-11.7,85.0
-8.0,61.0
21.8,35.0
6.8,72.0
0.1,87.0
16.5,51.0
5.9,67.0
-25.4,81.0
9.1,73.0
-16.0,90.0
15.5,58.0
-10.8,88.0
-1.6,82.0
22.4,59.0
-5.6,83.0
29.6,33.0
0.2,54.0
26.1,59.0
11.6,95.0
26.0,43.0
0.6,79.0
15.0,86.0
19.0,54.0
-9.4,73.0
12.1,61.0
14.0,23.0
-4.9,91.0
10.2,85.0
22.7,47.0
-1.1,93.0
4.8,89.0
0.8,76.0
28.3,36.0
15.8,52.0
10.1,99.0
-0.2,80.0
-12.7,89.0
10.2,36.0
-6.5,89.0
14.0,51.0
3.0,68.0
-8.1,84.0
9.6,61.0
23.7,42.0
18.1,44.0
1.3,94.0
19.8,52.0
8.8,69.0
11.5,66.0
17.9,65.0
17.9,52.0
27.1,61.0
-9.2,58.0
-7.8,90.0
6.5,79.0
6.9,76.0
30.8,31.0
2.0,86.0
-2.9,91.0
-0.6,93.0
4.6,79.0
-12.1,75.0
-2.5,87.0
-1.1,96.0
34.9,21.0
18.6,34.0
-9.5,82.0
-0.5,60.0
17.1,52.0
0.5,84.0
20.3,51.0
13.9,83.0
14.2,86.0
5.3,59.0
13.9,73.0
-7.0,55.0
19.8,58.0
29.4,41.0
28.8,17.0
2.7,86.0
8.5,94.0
-0.1,92.0
16.8,45.0
11.9,37.0
-4.0,82.0
-0.8,95.0
-19.2,84.0
27.4,34.0
16.7,82.0
7.8,74.0
-3.1,76.0
11.0,95.0
17.4,59.0
1.6,87.0
-19.9,81.0
4.7,68.0
4.6,69.0
-3.1,81.0
16.2,46.0
-1.3,93.0
1.9,89.0
-2.9,84.0
20.1,33.0
9.8,28.0
25.7,42.0
-1.3,89.0
-1.4,85.0
19.1,69.0
-2.4,87.0
16.8,60.0
11.6,74.0
7.0,26.0
13.3,57.0
1.0,81.0
30.7,42.0
22.8,23.0
-0.4,90.0
14.2,52.0
-0.1,62.0
9.4,93.0
9.3,67.0
3.1,64.0
-5.6,90.0
-10.1,86.0
20.8,31.0
24.5,32.0
26.3,23.0
19.3,33.0
-6.6,88.0
23.9,43.0
23.0,45.0
26.4,32.0
31.6,33.0
29.1,38.0
4.9,82.0
