index,Temperature,Humidity
22696,-0.8,75
10049,6.1,91
88040,-24.0,61
59364,-21.6,73
3406,23.3,28
40976,-9.5,69
131092,26.2,30
102179,17.2,61
121969,-1.6,94
98907,-2.0,88
39456,10.2,35
87280,-16.2,63
133364,11.9,59
124639,19.5,27
20120,24.0,56
95762,17.5,48
95143,16.5,34
52565,0.4,93
124629,27.6,27
107457,16.0,48
47256,-2.6,63
71707,12.8,63
36865,3.8,73
77691,6.2,91
72880,18.2,90
3099,21.2,71
9035,24.5,37
36206,6.2,43
52108,-1.5,98
40179,1.4,92
44083,26.8,41
39742,10.2,92
63984,-8.7,80
37263,10.1,77
61875,21.0,48
82210,-13.2,82
90559,24.9,42
129385,5.6,40
126787,12.5,86
2129,9.6,70
112538,5.8,89
97748,26.2,36
134501,-5.4,80
21608,10.4,70
963,-5.4,92
91706,20.5,43
22530,-0.8,71
2685,15.5,73
136282,21.5,38
11328,-20.9,81
20851,12.5,82
110745,-1.6,90
56498,7.7,73
28827,-9.7,88
17002,-7.1,91
24375,-1.4,68
107842,21.5,53
10881,4.0,87
23571,-3.4,90
72913,15.4,91
73345,24.0,26
62888,8.8,40
51608,8.0,76
35806,-4.2,89
76378,-8.6,80
37325,8.0,72
46777,-10.3,74
106774,16.7,49
79740,19.2,58
105306,-17.8,84
47749,2.1,68
100835,-2.2,91
87871,-0.7,98
26356,23.0,50
75850,-14.1,61
33073,11.2,79
68353,10.8,89
97933,12.7,89
1644,8.0,63
36565,19.1,28
43078,8.9,66
136104,3.9,42
47525,-17.6,80
74937,15.6,49
56120,31.8,21
91870,15.0,39
18045,-7.8,87
78877,19.1,49
113702,23.0,43
30116,-0.3,64
25057,4.6,74
2504,25.9,29
36305,-6.2,84
67327,17.2,47
70661,-6.1,80
35417,-7.5,69
112352,-0.6,83
75037,5.2,61
53845,0.2,96
80622,6.1,66
24499,-7.8,96
92682,-1.2,91
100163,-1.0,91
108839,26.2,28
22918,-4.0,89
37288,25.4,35
87418,-10.4,89
54692,17.3,70
39580,9.0,93
36246,3.2,87
25220,25.5,29
105610,-23.9,83
95010,8.8,84
127209,11.1,34
89094,1.1,46
80744,5.8,52
1478,17.7,32
74584,13.0,29
35659,-1.0,93
126577,20.2,46
26911,14.2,84
47174,-7.6,61
71625,4.4,74
25915,23.1,41
58240,-2.1,70
116628,-4.7,82
88806,-0.3,80
47000,-10.3,81
4639,2.7,67
3077,30.9,22
128336,-2.6,82
118036,10.7,43
63889,-10.3,92
9025,16.3,90
7090,-0.7,93
55580,21.0,42
32032,13.0,87
113713,12.9,52
59941,9.6,87
6075,-7.4,93
31992,24.6,40
134426,-5.1,83
55903,17.7,54
57973,-0.3,90
123119,-9.5,85
114657,9.9,96
6561,-13.5,91
57901,1.6,85
88341,9.6,55
121959,0.0,94
2826,27.8,36
34981,5.0,59
41097,-0.3,88
95591,20.5,35
23911,-12.4,63
95145,17.5,30
131529,24.3,43
87230,-19.6,85
76787,-2.3,69
57494,1.2,77
30223,-0.2,70
49657,27.2,36
87827,-3.7,96
22835,-2.6,93
109355,19.2,30
2605,14.2,62
51449,3.6,90
98720,-13.1,89
64679,-9.1,61
84702,26.2,26
33954,9.9,48
93251,-3.4,90
90081,14.8,69
89220,5.0,58
29064,-18.3,70
20865,16.3,92
71401,1.8,85
120238,15.9,68
11265,-11.4,89
94037,-0.3,92
44141,19.4,83
24186,-1.3,75
96934,33.6,37
63923,-5.3,88
26587,32.7,28
31537,12.6,82
137798,31.8,29
117802,1.3,85
8864,11.9,88
83627,13.4,28
23444,-5.7,82
84144,18.2,39
136404,12.0,29
122335,-6.5,91
86222,9.2,93
32461,20.8,73
16929,-4.1,85
100885,0.9,94
64518,-3.9,49
90970,27.5,49
54695,21.1,41
124464,6.8,78
112419,-0.5,72
18820,-3.6,78
115489,11.3,70
105230,-6.8,91
74472,17.2,40
41802,4.2,75
18522,-8.0,78
13464,8.0,78
95237,17.4,74
20130,13.3,89
54272,0.6,92
54299,5.7,70
57129,9.2,68
25431,9.2,73
9902,17.2,62
60368,11.3,82
33047,20.4,46
23288,-8.5,74
122494,-9.6,88
109770,7.8,68
19461,7.3,89
119974,35.2,21
42227,8.0,56
41124,-7.8,90
29423,-0.3,90
85888,14.8,40
40279,-12.4,74
118043,2.3,87
93208,-5.5,69
131990,31.8,25
60803,13.8,63
949,-15.8,79
58164,-2.3,65
131772,27.5,41
12633,0.8,83
102639,23.2,39
112772,18.6,53
97912,8.1,71
43157,24.6,58
39910,13.4,75
46966,-7.2,70
95399,17.5,38
73188,27.8,24
84965,24.7,29
57481,13.2,48
3695,18.2,56
7215,-2.5,89
101909,17.1,39
12993,10.8,81
117295,-3.6,85
117485,-1.1,95
52493,-26.1,84
79542,24.6,52
91460,15.8,72
124993,8.9,69
117085,-2.5,72
112511,8.2,91
101873,14.9,53
59793,-2.6,78
105502,-22.3,84
135778,2.9,86
127190,0.9,74
7105,3.1,96
90657,16.3,59
12482,-1.4,95
23507,2.6,57
35665,1.9,86
109241,20.4,43
136260,16.4,45
137820,24.8,38
6924,-2.4,83
47019,-9.6,88
108591,18.5,79
87848,-4.4,86
103294,18.6,43
16210,8.7,46
118547,1.7,80
80825,10.4,57
89516,8.7,65
50052,30.4,35
74662,20.6,25
29827,-15.3,92
26239,24.7,51
116825,4.6,70
80003,9.0,72
25466,11.4,67
121839,4.9,61
22481,-4.4,60
123167,-8.5,89
3483,27.4,29
8473,24.8,46
108519,32.5,22
26882,18.8,48
81367,1.2,92
108028,25.4,40
78738,25.1,37
43593,31.8,32
50023,30.8,30
119972,34.4,32
136189,7.0,63
37509,24.2,39
99804,-0.9,59
139,-17.6,85
110357,0.4,67
25653,12.4,56
40052,14.4,69
77414,23.2,26
9452,22.8,47
44596,28.9,40
56486,17.6,88
27756,8.0,68
12794,-4.2,72
32832,14.2,60
53771,-1.1,89
17680,-4.7,69
7255,-2.6,97
70548,-11.6,89
30735,-12.4,91
114088,30.4,38
64711,-3.1,51
19919,9.8,74
30259,5.0,67
103199,16.7,61
107241,21.2,22
44284,22.6,53
50931,17.1,48
49312,1.7,89
107941,26.1,46
84928,20.4,57
37897,27.2,36
40470,-1.0,91
55245,15.5,71
109810,-3.6,78
109778,1.0,98
37800,27.1,35
42620,20.0,54
31298,12.1,93
67572,30.3,44
17403,-1.4,62
64721,-12.9,83
83647,2.9,59
48116,11.4,43
35605,2.0,86
38799,22.4,25
116398,-8.6,92
103259,30.6,32
80508,11.6,46
76512,-10.6,84
133346,7.4,89
20965,27.2,35
3912,19.6,22
123368,-3.1,93
101626,22.1,57
21093,27.5,28
127327,3.2,77
30402,1.7,94
21321,23.4,47
44365,19.2,65
61840,21.6,66
45458,13.2,45
124513,-1.4,92
27168,16.0,47
60407,21.5,36
55312,15.8,65
88457,3.3,60
56149,16.9,44
92119,16.4,23
92690,-2.6,89
104521,1.9,71
39273,22.1,33
18046,0.7,96
1150,2.8,72
39033,28.3,26
98734,-13.9,89
25930,17.5,59
137748,29.2,42
34108,8.9,63
136077,14.7,43
106192,-17.8,82
26837,13.0,94
127265,3.9,90
72680,26.0,32
124869,25.3,28
42513,13.5,92
74421,17.0,26
131460,17.0,49
21260,15.6,88
2152,9.5,72
115029,15.3,57
108351,23.3,55
7104,3.8,87
38277,22.0,80
26940,16.0,60
104568,7.8,49
106799,11.2,56
119175,26.2,38
9245,20.6,45
135902,0.1,45
55532,14.8,80
55949,22.8,46
30198,10.0,47
133563,-0.5,79
100178,-6.3,77
97257,31.6,24
40146,9.7,50
33506,17.4,53
1362,-0.2,94
112472,17.0,51
72040,13.9,83
55207,25.4,29
75669,-7.5,82
116599,-9.5,66
119820,17.7,47
123158,-7.9,84
107643,24.0,38
62951,10.8,65
89630,11.5,56
119220,22.3,46
4270,9.2,83
128881,-17.7,77
30813,3.3,66
88888,0.4,61
90689,23.3,34
111650,-10.7,92
27263,21.9,29
129629,-6.3,84
127161,12.9,39
116888,-0.4,86
30720,2.5,98
127650,-8.4,68
76740,-9.6,53
109669,5.6,68
23041,1.4,79
61835,20.2,48
50857,27.4,32
136091,-4.2,82
117330,-6.1,79
126354,15.7,46
43796,29.2,47
93563,-16.1,77
4845,0.5,92
90406,36.4,24
43573,23.1,28
137545,32.0,23
5178,-4.9,78
76124,-14.3,70
16232,7.7,32
122935,-5.3,93
136781,16.0,59
31229,13.6,64
82814,-11.1,79
18880,-7.7,93
37577,22.2,42
62202,21.0,26
26704,19.7,63
78820,24.6,50
36837,10.7,46
198,-7.7,73
135862,16.8,24
133770,7.2,71
14659,22.0,47
93436,2.7,72
23487,-7.5,80
53961,3.2,93
34323,0.0,96
11133,0.5,96
90602,30.3,31
129879,-0.1,92
97263,17.5,61
27825,0.4,82
52593,-7.5,93
101302,22.7,26
115802,9.7,68
10816,1.8,80
130969,28.9,26
125041,20.4,37
121058,3.2,78
72552,26.0,32
12846,0.9,92
91752,12.0,92
72517,24.8,55
77844,8.8,80
61538,24.6,41
32198,28.6,34
49542,34.2,24
81637,-8.2,75
41657,0.9,84
98503,3.0,79
125214,24.9,49
21069,18.3,49
77528,15.4,33
82417,-21.2,81
125454,21.6,32
69779,-22.4,85
4790,5.4,68
77995,24.5,19
36314,7.6,65
39067,24.8,32
138243,12.7,80
14109,9.9,43
100064,-7.1,96
39262,6.3,97
137949,22.6,65
13395,5.5,95
3804,17.9,61
87387,-10.7,99
130618,16.0,21
136529,18.9,45
120953,23.9,30
89420,11.6,73
107347,16.8,68
71408,-5.5,76
79285,26.2,31
132768,15.8,52
61887,21.6,53
11925,0.6,42
43690,31.3,24
116087,7.8,38
71936,11.0,44
97949,13.3,69
63195,2.6,90
50040,23.2,66
82310,-28.1,66
6767,3.0,79
54369,11.8,68
29926,-19.6,69
17382,-15.2,78
49337,26.6,32
105540,-3.6,71
86515,-0.3,84
26692,25.0,53
135179,-10.2,80
9093,27.1,52
62913,11.4,90
116440,5.2,59
42561,3.8,87
72187,26.4,38
117501,0.4,74
99995,-24.9,75
19591,14.6,62
69819,-13.2,89
20070,19.4,61
787,-9.9,84
136146,2.3,69
134117,-14.8,75
31895,28.7,29
100360,-0.3,70
14964,22.8,49
33607,22.2,30
18739,5.4,62
38066,15.6,75
59713,-1.1,91
56576,11.2,85
107542,30.9,24
46877,-9.0,94
45837,8.4,60
117531,6.1,87
50329,32.0,19
99842,0.9,93
120505,27.8,26
9364,22.7,40
59249,-7.8,93
51740,9.4,81
12490,-4.8,93
137736,34.7,23
44951,28.2,18
10118,20.5,34
36665,15.0,15
40784,-6.0,89
24602,1.4,95
29761,-13.6,86
26441,21.2,73
121294,3.7,70
101185,7.1,83
79078,32.1,23
22496,-5.7,82
88551,4.7,71
50947,14.2,49
48089,11.0,65
102180,26.6,54
50644,28.9,19
33293,18.7,45
114329,29.4,29
13154,-9.7,82
22432,10.3,96
109230,8.4,77
42085,7.6,50
10066,2.2,82
30744,-5.3,46
125121,19.4,48
125982,20.6,75
133358,6.0,78
30167,-1.6,69
86950,-7.4,60
123965,-5.1,67
31333,19.6,51
24983,17.3,46
82067,-1.9,94
14377,25.1,36
49435,28.6,21
133038,9.1,79
99597,-17.6,86
91726,15.3,54
83152,4.5,91
69313,-6.1,94
90370,22.1,59
67006,22.2,39
134315,-10.1,64
10993,3.0,67
134848,-22.5,74
15760,15.1,57
31862,28.8,26
111743,-19.5,82
59909,15.6,35
25715,15.9,65
1472,7.8,64
71747,13.2,45
113575,20.7,32
102492,18.8,52
21647,13.5,53
125429,22.7,44
33888,10.0,52
34467,8.0,53
100258,2.3,88
10063,5.7,74
103121,15.2,48
26488,27.2,46
32188,21.1,50
105963,-13.7,78
61912,35.5,22
83523,3.6,71
114802,17.9,70
74173,18.2,36
121984,-14.0,84
85497,25.2,25
57306,11.3,53
107021,4.0,84
88513,1.2,95
22644,-0.4,84
137750,29.2,40
98667,-10.5,66
87537,-2.6,68
7095,9.3,92
51441,3.0,97
70261,-8.1,84
4059,20.2,51
44872,28.5,18
76712,-6.8,64
118235,5.3,42
121028,11.1,76
116896,-0.3,96
112851,12.9,68
62135,29.6,19
95606,19.0,55
71624,18.5,30
25567,19.6,36
35335,-32.0,70
118752,8.2,85
41724,-4.9,88
117735,6.5,65
6110,4.6,51
103647,9.2,53
59211,-4.7,81
133672,5.2,85
11471,-7.1,91
82443,-9.0,74
33764,9.8,50
10039,17.0,33
134797,-8.3,73
15006,16.8,76
89639,23.8,33
328,-2.1,94
111810,-3.8,92
97022,21.5,56
51379,8.5,84
89327,17.5,46
53396,-5.7,47
85095,23.1,53
137024,19.0,58
61511,35.3,11
83294,15.0,20
51583,1.4,81
28614,4.8,89
50041,32.7,21
100670,1.7,89
79916,15.6,52
38979,11.1,42
106176,-23.6,82
98146,9.2,93
132941,6.5,72
111602,1.3,75
52982,-10.7,67
23643,-2.2,89
125511,34.3,24
131064,26.6,25
133184,3.2,84
7765,17.6,63
22605,3.0,93
33597,9.2,62
87648,-3.4,88
47985,-0.4,84
35354,-33.4,67
75736,-14.7,71
93378,-1.9,59
88721,1.3,65
22731,3.3,65
138740,21.9,40
70812,-4.7,93
59362,-24.6,76
106345,-10.6,67
119218,15.3,54
78611,23.4,44
54180,1.8,60
50340,25.1,28
9557,24.2,61
101423,16.3,53
46867,-8.4,92
71115,-6.0,74
71353,-6.8,75
64979,-3.3,89
63260,7.5,59
131725,26.2,35
5658,-2.1,78
33093,16.8,54
92328,4.4,84
17162,-25.4,85
72722,23.1,33
98551,7.5,94
108412,21.6,45
119112,14.7,55
18814,-6.3,91
30144,-3.6,58
92253,2.3,61
10082,4.0,88
134888,-10.8,69
83927,27.2,21
129754,-8.3,80
37518,13.6,70
109666,19.5,45
138225,23.2,45
73529,23.6,34
64893,-4.3,80
138177,11.7,73
111991,-1.9,86
53697,-6.0,69
100104,6.4,64
112705,1.6,91
44160,9.9,86
126827,16.3,39
133458,-1.1,89
40393,-16.5,82
70055,-2.6,95
108967,20.4,28
49295,10.0,78
21822,6.9,61
99406,-1.7,71
42512,-4.0,82
135533,0.5,86
65118,-29.5,75
32237,27.5,24
22285,13.6,45
85524,32.9,20
25891,13.1,39
137649,22.8,53
94718,1.4,93
71703,20.3,34
91744,13.4,69
36332,5.3,78
6391,-0.8,64
73826,23.5,42
65284,0.3,58
92654,-0.6,68
91349,22.9,34
53933,11.8,62
137349,23.1,59
72273,17.0,37
83906,12.5,65
19071,7.0,44
111709,-2.0,92
70609,-4.1,89
4118,15.3,46
67623,33.7,35
40827,-1.6,92
45818,13.4,23
6256,-13.2,94
88432,-19.9,73
94178,-13.8,91
126896,20.4,36
6095,-7.9,93
56323,20.2,39
27336,26.4,26
120837,16.3,39
42778,11.9,47
61312,15.6,70
57968,-0.4,86
105064,3.1,66
68341,24.0,24
100039,-16.0,72
91271,30.0,20
79847,14.6,49
36103,0.6,81
102720,17.7,77
73139,21.8,59
71003,-15.7,83
91167,12.5,89
26750,26.0,36
7266,10.2,82
31221,18.2,57
27833,5.8,71
35458,-24.6,73
36625,-2.6,76
123041,-15.3,80
49246,21.6,39
132078,22.2,49
45658,10.1,56
37833,25.9,35
94051,0.7,94
88821,-5.2,75
21697,8.2,74
19410,-0.9,85
50035,23.8,50
41973,1.0,69
134085,-18.2,75
107141,14.5,59
15275,24.2,27
32789,23.5,56
125705,33.2,29
63932,-4.4,86
122552,-19.5,70
138475,11.9,72
110236,-6.9,64
15182,20.0,59
58179,-9.2,82
56311,25.7,35
84849,21.1,67
122520,-6.3,77
129738,-11.1,74
78075,24.8,27
37135,9.4,38
28642,-1.6,80
73362,20.6,50
40803,0.0,85
64034,-5.0,98
60877,12.1,46
116108,0.5,87
76157,-5.8,95
99622,-6.7,71
33467,13.1,46
132847,18.0,48
60377,19.1,28
117553,-6.3,92
7682,15.8,48
118020,7.9,43
36285,-1.0,85
32311,33.8,17
77136,1.2,96
9193,27.5,30
117499,3.8,66
126760,25.0,30
2518,28.1,34
38163,16.2,70
44636,20.8,47
127848,2.4,73
66478,10.0,77
71253,-2.0,94
36947,25.2,31
65011,-3.9,99
136570,16.4,38
33806,4.5,66
71920,10.8,45
131638,31.4,31
128767,-4.1,94
39118,12.8,80
8130,16.5,87
12305,-8.5,83
116127,3.4,90
