index,Temperature
22696,-0.8
10049,6.1
88040,-24.0
59364,-21.6
3406,23.3
40976,-9.5
131092,26.2
102179,17.2
121969,-1.6
98907,-2.0
39456,10.2
87280,-16.2
133364,11.9
124639,19.5
20120,24.0
95762,17.5
95143,16.5
52565,0.4
124629,27.6
107457,16.0
47256,-2.6
71707,12.8
36865,3.8
77691,6.2
72880,18.2
3099,21.2
9035,24.5
36206,6.2
52108,-1.5
40179,1.4
44083,26.8
39742,10.2
63984,-8.7
37263,10.1
61875,21.0
82210,-13.2
90559,24.9
129385,5.6
126787,12.5
2129,9.6
112538,5.8
97748,26.2
134501,-5.4
21608,10.4
963,-5.4
91706,20.5
22530,-0.8
2685,15.5
136282,21.5
11328,-20.9
20851,12.5
110745,-1.6
56498,7.7
28827,-9.7
17002,-7.1
24375,-1.4
107842,21.5
10881,4.0
23571,-3.4
72913,15.4
73345,24.0
62888,8.8
51608,8.0
35806,-4.2
76378,-8.6
37325,8.0
46777,-10.3
106774,16.7
79740,19.2
105306,-17.8
47749,2.1
100835,-2.2
87871,-0.7
26356,23.0
75850,-14.1
33073,11.2
68353,10.8
97933,12.7
1644,8.0
36565,19.1
43078,8.9
136104,3.9
47525,-17.6
74937,15.6
56120,31.8
91870,15.0
18045,-7.8
78877,19.1
113702,23.0
30116,-0.3
25057,4.6
2504,25.9
36305,-6.2
67327,17.2
70661,-6.1
35417,-7.5
112352,-0.6
75037,5.2
53845,0.2
80622,6.1
24499,-7.8
92682,-1.2
100163,-1.0
108839,26.2
22918,-4.0
37288,25.4
87418,-10.4
54692,17.3
39580,9.0
36246,3.2
25220,25.5
105610,-23.9
95010,8.8
127209,11.1
89094,1.1
80744,5.8
1478,17.7
74584,13.0
35659,-1.0
126577,20.2
26911,14.2
47174,-7.6
71625,4.4
25915,23.1
58240,-2.1
116628,-4.7
88806,-0.3
47000,-10.3
4639,2.7
3077,30.9
128336,-2.6
118036,10.7
63889,-10.3
9025,16.3
7090,-0.7
55580,21.0
32032,13.0
113713,12.9
59941,9.6
6075,-7.4
31992,24.6
134426,-5.1
55903,17.7
57973,-0.3
123119,-9.5
114657,9.9
6561,-13.5
57901,1.6
88341,9.6
121959,0.0
2826,27.8
34981,5.0
41097,-0.3
95591,20.5
23911,-12.4
95145,17.5
131529,24.3
87230,-19.6
76787,-2.3
57494,1.2
30223,-0.2
49657,27.2
87827,-3.7
22835,-2.6
109355,19.2
2605,14.2
51449,3.6
98720,-13.1
64679,-9.1
84702,26.2
33954,9.9
93251,-3.4
90081,14.8
89220,5.0
29064,-18.3
20865,16.3
71401,1.8
120238,15.9
11265,-11.4
94037,-0.3
44141,19.4
24186,-1.3
96934,33.6
63923,-5.3
26587,32.7
31537,12.6
137798,31.8
117802,1.3
8864,11.9
83627,13.4
23444,-5.7
84144,18.2
136404,12.0
122335,-6.5
86222,9.2
32461,20.8
16929,-4.1
100885,0.9
64518,-3.9
90970,27.5
54695,21.1
124464,6.8
112419,-0.5
18820,-3.6
115489,11.3
105230,-6.8
74472,17.2
41802,4.2
18522,-8.0
13464,8.0
95237,17.4
20130,13.3
54272,0.6
54299,5.7
57129,9.2
25431,9.2
9902,17.2
60368,11.3
33047,20.4
23288,-8.5
122494,-9.6
109770,7.8
19461,7.3
119974,35.2
42227,8.0
41124,-7.8
29423,-0.3
85888,14.8
40279,-12.4
118043,2.3
93208,-5.5
131990,31.8
60803,13.8
949,-15.8
58164,-2.3
131772,27.5
12633,0.8
102639,23.2
112772,18.6
97912,8.1
43157,24.6
39910,13.4
46966,-7.2
95399,17.5
73188,27.8
84965,24.7
57481,13.2
3695,18.2
7215,-2.5
101909,17.1
12993,10.8
117295,-3.6
117485,-1.1
52493,-26.1
79542,24.6
91460,15.8
124993,8.9
117085,-2.5
112511,8.2
101873,14.9
59793,-2.6
105502,-22.3
135778,2.9
127190,0.9
7105,3.1
90657,16.3
12482,-1.4
23507,2.6
35665,1.9
109241,20.4
136260,16.4
137820,24.8
6924,-2.4
47019,-9.6
108591,18.5
87848,-4.4
103294,18.6
16210,8.7
118547,1.7
80825,10.4
89516,8.7
50052,30.4
74662,20.6
29827,-15.3
26239,24.7
116825,4.6
80003,9.0
25466,11.4
121839,4.9
22481,-4.4
123167,-8.5
3483,27.4
8473,24.8
108519,32.5
26882,18.8
81367,1.2
108028,25.4
78738,25.1
43593,31.8
50023,30.8
119972,34.4
136189,7.0
37509,24.2
99804,-0.9
139,-17.6
110357,0.4
25653,12.4
40052,14.4
77414,23.2
9452,22.8
44596,28.9
56486,17.6
27756,8.0
12794,-4.2
32832,14.2
53771,-1.1
17680,-4.7
7255,-2.6
70548,-11.6
30735,-12.4
114088,30.4
64711,-3.1
19919,9.8
30259,5.0
103199,16.7
107241,21.2
44284,22.6
50931,17.1
49312,1.7
107941,26.1
84928,20.4
37897,27.2
40470,-1.0
55245,15.5
109810,-3.6
109778,1.0
37800,27.1
42620,20.0
31298,12.1
67572,30.3
17403,-1.4
64721,-12.9
83647,2.9
48116,11.4
35605,2.0
38799,22.4
116398,-8.6
103259,30.6
80508,11.6
76512,-10.6
133346,7.4
20965,27.2
3912,19.6
123368,-3.1
101626,22.1
21093,27.5
127327,3.2
30402,1.7
21321,23.4
44365,19.2
61840,21.6
45458,13.2
124513,-1.4
27168,16.0
60407,21.5
55312,15.8
88457,3.3
56149,16.9
92119,16.4
92690,-2.6
104521,1.9
39273,22.1
18046,0.7
1150,2.8
39033,28.3
98734,-13.9
25930,17.5
137748,29.2
34108,8.9
136077,14.7
106192,-17.8
26837,13.0
127265,3.9
72680,26.0
124869,25.3
42513,13.5
74421,17.0
131460,17.0
21260,15.6
2152,9.5
115029,15.3
108351,23.3
7104,3.8
38277,22.0
26940,16.0
104568,7.8
106799,11.2
119175,26.2
9245,20.6
135902,0.1
55532,14.8
