Temperature,Humidity
-0.8,75
6.1,91
-24.0,61
-21.6,73
23.3,28
-9.5,69
26.2,30
17.2,61
-1.6,94
-2.0,88
10.2,35
-16.2,63
11.9,59
19.5,27
24.0,56
17.5,48
16.5,34
0.4,93
27.6,27
16.0,48
-2.6,63
12.8,63
3.8,73
6.2,91
18.2,90
21.2,71
24.5,37
6.2,43
-1.5,98
1.4,92
26.8,41
10.2,92
-8.7,80
10.1,77
21.0,48
-13.2,82
24.9,42
5.6,40
12.5,86
9.6,70
5.8,89
26.2,36
-5.4,80
10.4,70
-5.4,92
20.5,43
-0.8,71
15.5,73
21.5,38
-20.9,81
12.5,82
-1.6,90
7.7,73
-9.7,88
-7.1,91
-1.4,68
21.5,53
4.0,87
-3.4,90
15.4,91
24.0,26
8.8,40
8.0,76
-4.2,89
-8.6,80
8.0,72
-10.3,74
16.7,49
19.2,58
-17.8,84
2.1,68
-2.2,91
-0.7,98
23.0,50
-14.1,61
11.2,79
10.8,89
12.7,89
8.0,63
19.1,28
8.9,66
3.9,42
-17.6,80
15.6,49
31.8,21
15.0,39
-7.8,87
19.1,49
23.0,43
-0.3,64
4.6,74
25.9,29
-6.2,84
17.2,47
-6.1,80
-7.5,69
-0.6,83
5.2,61
0.2,96
6.1,66
-7.8,96
-1.2,91
-1.0,91
26.2,28
-4.0,89
25.4,35
-10.4,89
17.3,70
9.0,93
3.2,87
25.5,29
-23.9,83
8.8,84
11.1,34
1.1,46
5.8,52
17.7,32
13.0,29
-1.0,93
20.2,46
14.2,84
-7.6,61
4.4,74
23.1,41
-2.1,70
-4.7,82
-0.3,80
-10.3,81
2.7,67
30.9,22
-2.6,82
10.7,43
-10.3,92
16.3,90
-0.7,93
21.0,42
13.0,87
12.9,52
9.6,87
-7.4,93
24.6,40
-5.1,83
17.7,54
-0.3,90
-9.5,85
9.9,96
-13.5,91
1.6,85
9.6,55
0.0,94
27.8,36
5.0,59
-0.3,88
20.5,35
-12.4,63
17.5,30
24.3,43
-19.6,85
-2.3,69
1.2,77
-0.2,70
27.2,36
-3.7,96
-2.6,93
19.2,30
14.2,62
3.6,90
-13.1,89
-9.1,61
26.2,26
9.9,48
-3.4,90
14.8,69
5.0,58
-18.3,70
16.3,92
1.8,85
15.9,68
-11.4,89
-0.3,92
19.4,83
-1.3,75
33.6,37
-5.3,88
32.7,28
12.6,82
31.8,29
1.3,85
11.9,88
13.4,28
-5.7,82
18.2,39
12.0,29
-6.5,91
9.2,93
20.8,73
-4.1,85
0.9,94
-3.9,49
27.5,49
21.1,41
6.8,78
-0.5,72
-3.6,78
11.3,70
-6.8,91
17.2,40
4.2,75
-8.0,78
8.0,78
17.4,74
13.3,89
0.6,92
5.7,70
9.2,68
9.2,73
17.2,62
11.3,82
20.4,46
-8.5,74
-9.6,88
7.8,68
7.3,89
35.2,21
8.0,56
-7.8,90
-0.3,90
14.8,40
-12.4,74
2.3,87
-5.5,69
31.8,25
13.8,63
-15.8,79
-2.3,65
27.5,41
0.8,83
23.2,39
18.6,53
8.1,71
24.6,58
13.4,75
-7.2,70
17.5,38
27.8,24
24.7,29
13.2,48
18.2,56
-2.5,89
17.1,39
10.8,81
-3.6,85
-1.1,95
-26.1,84
24.6,52
15.8,72
8.9,69
-2.5,72
8.2,91
14.9,53
-2.6,78
-22.3,84
2.9,86
0.9,74
3.1,96
16.3,59
-1.4,95
2.6,57
1.9,86
20.4,43
16.4,45
24.8,38
-2.4,83
-9.6,88
18.5,79
-4.4,86
18.6,43
8.7,46
1.7,80
10.4,57
8.7,65
30.4,35
20.6,25
-15.3,92
24.7,51
4.6,70
9.0,72
11.4,67
4.9,61
-4.4,60
-8.5,89
27.4,29
24.8,46
32.5,22
18.8,48
1.2,92
25.4,40
25.1,37
31.8,32
30.8,30
34.4,32
7.0,63
24.2,39
-0.9,59
-17.6,85
0.4,67
12.4,56
14.4,69
23.2,26
22.8,47
28.9,40
17.6,88
8.0,68
-4.2,72
14.2,60
-1.1,89
-4.7,69
-2.6,97
-11.6,89
-12.4,91
30.4,38
-3.1,51
9.8,74
5.0,67
16.7,61
21.2,22
22.6,53
17.1,48
1.7,89
26.1,46
20.4,57
27.2,36
-1.0,91
15.5,71
-3.6,78
1.0,98
27.1,35
20.0,54
12.1,93
30.3,44
-1.4,62
-12.9,83
2.9,59
11.4,43
2.0,86
22.4,25
-8.6,92
30.6,32
11.6,46
-10.6,84
7.4,89
27.2,35
19.6,22
-3.1,93
22.1,57
27.5,28
3.2,77
1.7,94
23.4,47
19.2,65
21.6,66
13.2,45
-1.4,92
16.0,47
21.5,36
15.8,65
3.3,60
16.9,44
16.4,23
-2.6,89
1.9,71
22.1,33
0.7,96
2.8,72
28.3,26
-13.9,89
17.5,59
29.2,42
8.9,63
14.7,43
-17.8,82
13.0,94
3.9,90
26.0,32
25.3,28
13.5,92
17.0,26
17.0,49
15.6,88
9.5,72
15.3,57
23.3,55
3.8,87
22.0,80
16.0,60
7.8,49
11.2,56
26.2,38
20.6,45
0.1,45
14.8,80
22.8,46
10.0,47
-0.5,79
-6.3,77
31.6,24
9.7,50
17.4,53
-0.2,94
17.0,51
13.9,83
25.4,29
-7.5,82
-9.5,66
17.7,47
-7.9,84
24.0,38
10.8,65
11.5,56
22.3,46
9.2,83
-17.7,77
3.3,66
0.4,61
23.3,34
-10.7,92
21.9,29
-6.3,84
12.9,39
-0.4,86
2.5,98
-8.4,68
-9.6,53
5.6,68
1.4,79
20.2,48
27.4,32
-4.2,82
-6.1,79
15.7,46
29.2,47
-16.1,77
0.5,92
36.4,24
23.1,28
32.0,23
-4.9,78
-14.3,70
7.7,32
-5.3,93
16.0,59
13.6,64
-11.1,79
-7.7,93
22.2,42
21.0,26
19.7,63
24.6,50
10.7,46
-7.7,73
16.8,24
7.2,71
22.0,47
2.7,72
-7.5,80
3.2,93
0.0,96
0.5,96
30.3,31
-0.1,92
17.5,61
0.4,82
-7.5,93
22.7,26
9.7,68
1.8,80
28.9,26
20.4,37
3.2,78
26.0,32
0.9,92
12.0,92
24.8,55
8.8,80
24.6,41
28.6,34
34.2,24
-8.2,75
0.9,84
3.0,79
24.9,49
18.3,49
15.4,33
-21.2,81
21.6,32
-22.4,85
5.4,68
24.5,19
7.6,65
24.8,32
12.7,80
9.9,43
-7.1,96
6.3,97
22.6,65
5.5,95
17.9,61
-10.7,99
16.0,21
18.9,45
23.9,30
11.6,73
16.8,68
-5.5,76
26.2,31
15.8,52
21.6,53
0.6,42
31.3,24
7.8,38
11.0,44
13.3,69
2.6,90
23.2,66
-28.1,66
3.0,79
11.8,68
-19.6,69
-15.2,78
26.6,32
-3.6,71
-0.3,84
25.0,53
-10.2,80
27.1,52
11.4,90
5.2,59
3.8,87
26.4,38
0.4,74
-24.9,75
14.6,62
-13.2,89
19.4,61
-9.9,84
2.3,69
-14.8,75
28.7,29
-0.3,70
22.8,49
22.2,30
5.4,62
15.6,75
-1.1,91
11.2,85
30.9,24
-9.0,94
8.4,60
6.1,87
32.0,19
0.9,93
27.8,26
22.7,40
-7.8,93
9.4,81
-4.8,93
34.7,23
28.2,18
20.5,34
15.0,15
-6.0,89
1.4,95
-13.6,86
21.2,73
3.7,70
7.1,83
32.1,23
-5.7,82
4.7,71
14.2,49
11.0,65
26.6,54
28.9,19
18.7,45
29.4,29
-9.7,82
10.3,96
8.4,77
7.6,50
2.2,82
-5.3,46
19.4,48
20.6,75
6.0,78
-1.6,69
-7.4,60
-5.1,67
19.6,51
17.3,46
-1.9,94
25.1,36
28.6,21
9.1,79
-17.6,86
15.3,54
4.5,91
-6.1,94
22.1,59
22.2,39
-10.1,64
3.0,67
-22.5,74
15.1,57
28.8,26
-19.5,82
15.6,35
15.9,65
7.8,64
13.2,45
20.7,32
18.8,52
13.5,53
22.7,44
10.0,52
8.0,53
2.3,88
5.7,74
15.2,48
27.2,46
21.1,50
-13.7,78
35.5,22
3.6,71
17.9,70
18.2,36
-14.0,84
25.2,25
11.3,53
4.0,84
1.2,95
-0.4,84
29.2,40
-10.5,66
-2.6,68
9.3,92
3.0,97
-8.1,84
20.2,51
28.5,18
-6.8,64
5.3,42
11.1,76
-0.3,96
12.9,68
29.6,19
19.0,55
18.5,30
19.6,36
-32.0,70
8.2,85
-4.9,88
6.5,65
4.6,51
9.2,53
-4.7,81
5.2,85
-7.1,91
-9.0,74
9.8,50
17.0,33
-8.3,73
16.8,76
23.8,33
-2.1,94
-3.8,92
21.5,56
8.5,84
17.5,46
-5.7,47
23.1,53
19.0,58
35.3,11
15.0,20
1.4,81
4.8,89
32.7,21
1.7,89
15.6,52
11.1,42
-23.6,82
9.2,93
6.5,72
1.3,75
-10.7,67
-2.2,89
34.3,24
26.6,25
3.2,84
17.6,63
3.0,93
9.2,62
-3.4,88
-0.4,84
-33.4,67
-14.7,71
-1.9,59
1.3,65
3.3,65
21.9,40
-4.7,93
-24.6,76
-10.6,67
15.3,54
23.4,44
1.8,60
25.1,28
24.2,61
16.3,53
-8.4,92
-6.0,74
-6.8,75
-3.3,89
7.5,59
26.2,35
-2.1,78
16.8,54
4.4,84
-25.4,85
23.1,33
7.5,94
21.6,45
14.7,55
-6.3,91
-3.6,58
2.3,61
4.0,88
-10.8,69
27.2,21
-8.3,80
13.6,70
19.5,45
23.2,45
23.6,34
-4.3,80
11.7,73
-1.9,86
-6.0,69
6.4,64
1.6,91
9.9,86
16.3,39
-1.1,89
-16.5,82
-2.6,95
20.4,28
10.0,78
6.9,61
-1.7,71
-4.0,82
0.5,86
-29.5,75
27.5,24
13.6,45
32.9,20
13.1,39
22.8,53
1.4,93
20.3,34
13.4,69
5.3,78
-0.8,64
23.5,42
0.3,58
-0.6,68
22.9,34
11.8,62
23.1,59
17.0,37
12.5,65
7.0,44
-2.0,92
-4.1,89
15.3,46
33.7,35
-1.6,92
13.4,23
-13.2,94
-19.9,73
-13.8,91
20.4,36
-7.9,93
20.2,39
26.4,26
16.3,39
11.9,47
15.6,70
-0.4,86
3.1,66
24.0,24
-16.0,72
30.0,20
14.6,49
0.6,81
17.7,77
21.8,59
-15.7,83
12.5,89
26.0,36
10.2,82
18.2,57
5.8,71
-24.6,73
-2.6,76
-15.3,80
21.6,39
22.2,49
10.1,56
25.9,35
0.7,94
-5.2,75
8.2,74
